0,1
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/800.png,Qg1
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/1766.png,Kxe1
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2646.png,h6
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2458.png,Nxc5
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2912.png,Nbd5
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2534.png,Bb7
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2649.png,dxc5
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/1828.png,Rc2+
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/309.png,Rh7
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2115.png,Rc2+
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/759.png,Qa6
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/1381.png,Rg4
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2821.png,Qc2+
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/817_hw.png,Qa4
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/679.png,Nd3+
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2621.png,Bxf6
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2902.png,Rxg2
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/837_hw.png,Bf2
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2684.png,Bxc5+
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2508.png,Bf3
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/1799.png,Nxg5
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/978.png,Bb7
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/1794.png,Rc2+
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2199.png,Qd3
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/1202.png,Ne4+
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/369.png,Ne5+
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/1678.png,Rc1+
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/1097.png,Rxd2
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/614_hw.png,Bh4
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/491.png,Nc2
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2771.png,Bxb5
/Users/luna/PycharmProjects/ml-project-2-apa-main/training_data/2152.png,Rf4
